車両識別番号,車種名,閾値_AT異常,閾値_画面強調,閾値_Lv1,閾値_Lv2,閾値_Lv3
KMT059,"PasCityC	",24,24,24.6,25.3,26.4
KMT060,"PasCityC	",24,24,24.6,25.3,26.4
KMT061,"PasCityC	",24,24,24.6,25.3,26.4
KMT062,"PasCityC	",24,24,24.6,25.3,26.4
KMT063,"PasCityC	",24,24,24.6,25.3,26.4
KMT064,"PasCityC	",24,24,24.6,25.3,26.4
KMT065,"PasCityC	",24,24,24.6,25.3,26.4
KMT066,"PasCityC	",24,24,24.6,25.3,26.4
KMT067,"PasCityC	",24,24,24.6,25.3,26.4
KMT068,"PasCityC	",24,24,24.6,25.3,26.4
KMT069,"PasCityC	",24,24,24.6,25.3,26.4
KMT070,"PasCityC	",24,24,24.6,25.3,26.4
KMT071,"PasCityC	",24,24,24.6,25.3,26.4
KMT072,"PasCityC	",24,24,24.6,25.3,26.4
KMT073,"PasCityC	",24,24,24.6,25.3,26.4
KMT074,"PasCityC	",24,24,24.6,25.3,26.4
KMT075,"PasCityC	",24,24,24.6,25.3,26.4
KNZ0001,DD,34.8,35.9,36.5,38.4,
KNZ0002,DD,34.8,35.9,36.5,38.4,
KNZ0003,DD,34.8,35.9,36.5,38.4,
KNZ0004,DD,34.8,35.9,36.5,38.4,
KNZ0005,DD,34.8,35.9,36.5,38.4,
KNZ0006,DD,34.8,35.9,36.5,38.4,
KNZ0007,DD,34.8,35.9,36.5,38.4,
KNZ0008,DD,34.8,35.9,36.5,38.4,
KNZ0009,DD,34.8,35.9,36.5,38.4,
KNZ0010,DD,34.8,35.9,36.5,38.4,
KNZ0011,DD,34.8,35.9,36.5,38.4,
KNZ0012,DD,34.8,35.9,36.5,38.4,
KNZ0013,DD,34.8,35.9,36.5,38.4,
KNZ0014,DD,34.8,35.9,36.5,38.4,
KNZ0015,DD,34.8,35.9,36.5,38.4,
KNZ0016,DD,34.8,35.9,36.5,38.4,
KNZ0017,DD,34.8,35.9,36.5,38.4,
KNZ0018,DD,34.8,35.9,36.5,38.4,
KNZ0019,DD,34.8,35.9,36.5,38.4,
KNZ0020,DD,34.8,35.9,36.5,38.4,
KNZ0021,DD,34.8,35.9,36.5,38.4,
KNZ0022,DD,34.8,35.9,36.5,38.4,
KNZ0023,DD,34.8,35.9,36.5,38.4,
KNZ0024,DD,34.8,35.9,36.5,38.4,
KNZ0025,DD,34.8,35.9,36.5,38.4,
KNZ0026,DD,34.8,35.9,36.5,38.4,
KNZ0027,DD,34.8,35.9,36.5,38.4,
KNZ0028,DD,34.8,35.9,36.5,38.4,
KNZ0029,DD,34.8,35.9,36.5,38.4,
KNZ0030,DD,34.8,35.9,36.5,38.4,
KNZ0031,DD,34.8,35.9,36.5,38.4,
KNZ0032,DD,34.8,35.9,36.5,38.4,
KNZ0033,DD,34.8,35.9,36.5,38.4,
KNZ0034,DD,34.8,35.9,36.5,38.4,
KNZ0035,DD,34.8,35.9,36.5,38.4,
KNZ0036,DD,34.8,35.9,36.5,38.4,
KNZ0037,DD,34.8,35.9,36.5,38.4,
KNZ0038,DD,34.8,35.9,36.5,38.4,
KNZ0039,DD,34.8,35.9,36.5,38.4,
KNZ0040,DD,34.8,35.9,36.5,38.4,
KNZ0041,DD,34.8,35.9,36.5,38.4,
KNZ0042,DD,34.8,35.9,36.5,38.4,
KNZ0043,DD,34.8,35.9,36.5,38.4,
KNZ0044,DD,34.8,35.9,36.5,38.4,
KNZ0045,DD,34.8,35.9,36.5,38.4,
KNZ0046,DD,34.8,35.9,36.5,38.4,
KNZ0047,DD,34.8,35.9,36.5,38.4,
KNZ0048,DD,34.8,35.9,36.5,38.4,
KNZ0049,DD,34.8,35.9,36.5,38.4,
KNZ0050,DD,34.8,35.9,36.5,38.4,
KNZ0051,DD,34.8,35.9,36.5,38.4,
KNZ0052,DD,34.8,35.9,36.5,38.4,
KNZ0053,DD,34.8,35.9,36.5,38.4,
KNZ0054,DD,34.8,35.9,36.5,38.4,
KNZ0055,DD,34.8,35.9,36.5,38.4,
KNZ0056,DD,34.8,35.9,36.5,38.4,
KNZ0057,DD,34.8,35.9,36.5,38.4,
KNZ0058,DD,34.8,35.9,36.5,38.4,
KNZ0059,DD,34.8,35.9,36.5,38.4,
KNZ0060,DD,34.8,35.9,36.5,38.4,
KNZ0061,DD,34.8,35.9,36.5,38.4,
KNZ0062,DD,34.8,35.9,36.5,38.4,
KNZ0063,DD,34.8,35.9,36.5,38.4,
KNZ0064,DD,34.8,35.9,36.5,38.4,
KNZ0065,DD,34.8,35.9,36.5,38.4,
KNZ0066,DD,34.8,35.9,36.5,38.4,
KNZ0067,DD,34.8,35.9,36.5,38.4,
KNZ0068,DD,34.8,35.9,36.5,38.4,
KNZ0069,DD,34.8,35.9,36.5,38.4,
KNZ0070,DD,34.8,35.9,36.5,38.4,
KNZ0071,DD,34.8,35.9,36.5,38.4,
KNZ0072,DD,34.8,35.9,36.5,38.4,
KNZ0073,DD,34.8,35.9,36.5,38.4,
KNZ0074,DD,34.8,35.9,36.5,38.4,
KNZ0075,DD,34.8,35.9,36.5,38.4,
KNZ0076,DD,34.8,35.9,36.5,38.4,
KNZ0077,DD,34.8,35.9,36.5,38.4,
KNZ0078,DD,34.8,35.9,36.5,38.4,
KNZ0079,DD,34.8,35.9,36.5,38.4,
KNZ0080,DD,34.8,35.9,36.5,38.4,
KNZ0081,DD,34.8,35.9,36.5,38.4,
KNZ0082,DD,34.8,35.9,36.5,38.4,
KNZ0083,DD,34.8,35.9,36.5,38.4,
KNZ0084,DD,34.8,35.9,36.5,38.4,
KNZ0085,DD,34.8,35.9,36.5,38.4,
KNZ0086,DD,34.8,35.9,36.5,38.4,
KNZ0087,DD,34.8,35.9,36.5,38.4,
KNZ0088,DD,34.8,35.9,36.5,38.4,
KNZ0089,DD,34.8,35.9,36.5,38.4,
KNZ0090,DD,34.8,35.9,36.5,38.4,
KNZ0091,DD,34.8,35.9,36.5,38.4,
KNZ0092,DD,34.8,35.9,36.5,38.4,
KNZ0093,DD,34.8,35.9,36.5,38.4,
KNZ0094,DD,34.8,35.9,36.5,38.4,
KNZ0095,DD,34.8,35.9,36.5,38.4,
KNZ0096,DD,34.8,35.9,36.5,38.4,
KNZ0097,DD,34.8,35.9,36.5,38.4,
KNZ0098,DD,34.8,35.9,36.5,38.4,
KNZ0099,DD,34.8,35.9,36.5,38.4,
KNZ0100,DD,34.8,35.9,36.5,38.4,
KNZ0101,DD,34.8,35.9,36.5,38.4,
KNZ0102,DD,34.8,35.9,36.5,38.4,
KNZ0103,DD,34.8,35.9,36.5,38.4,
KNZ0104,DD,34.8,35.9,36.5,38.4,
KNZ0105,DD,34.8,35.9,36.5,38.4,
KNZ0106,DD,34.8,35.9,36.5,38.4,
KNZ0107,DD,34.8,35.9,36.5,38.4,
KNZ0108,DD,34.8,35.9,36.5,38.4,
KNZ0109,DD,34.8,35.9,36.5,38.4,
KNZ0110,DD,34.8,35.9,36.5,38.4,
KNZ0111,DD,34.8,35.9,36.5,38.4,
KNZ0112,DD,34.8,35.9,36.5,38.4,
KNZ0113,DD,34.8,35.9,36.5,38.4,
KNZ0114,DD,34.8,35.9,36.5,38.4,
KNZ0115,DD,34.8,35.9,36.5,38.4,
KNZ0116,DD,34.8,35.9,36.5,38.4,
KNZ0117,DD,34.8,35.9,36.5,38.4,
KNZ0118,DD,34.8,35.9,36.5,38.4,
KNZ0119,DD,34.8,35.9,36.5,38.4,
KNZ0120,DD,34.8,35.9,36.5,38.4,
KNZ0121,DD,34.8,35.9,36.5,38.4,
KNZ0122,DD,34.8,35.9,36.5,38.4,
KNZ0123,DD,34.8,35.9,36.5,38.4,
KNZ0124,DD,34.8,35.9,36.5,38.4,
KNZ0125,DD,34.8,35.9,36.5,38.4,
KNZ0126,DD,34.8,35.9,36.5,38.4,
KNZ0127,DD,34.8,35.9,36.5,38.4,
KNZ0128,DD,34.8,35.9,36.5,38.4,
KNZ0129,DD,34.8,35.9,36.5,38.4,
KNZ0130,DD,34.8,35.9,36.5,38.4,
KNZ0131,DD,34.8,35.9,36.5,38.4,
KNZ0132,DD,34.8,35.9,36.5,38.4,
KNZ0133,DD,34.8,35.9,36.5,38.4,
KNZ0134,DD,34.8,35.9,36.5,38.4,
KNZ0135,DD,34.8,35.9,36.5,38.4,
KNZ0136,DD,34.8,35.9,36.5,38.4,
KNZ0137,DD,34.8,35.9,36.5,38.4,
KNZ0138,DD,34.8,35.9,36.5,38.4,
KNZ0139,DD,34.8,35.9,36.5,38.4,
KNZ0140,DD,34.8,35.9,36.5,38.4,
KNZ0141,DD,34.8,35.9,36.5,38.4,
KNZ0142,DD,34.8,35.9,36.5,38.4,
KNZ0143,DD,34.8,35.9,36.5,38.4,
KNZ0144,DD,34.8,35.9,36.5,38.4,
KNZ0145,DD,34.8,35.9,36.5,38.4,
KNZ0146,DD,34.8,35.9,36.5,38.4,
KNZ0147,DD,34.8,35.9,36.5,38.4,
KNZ0148,DD,34.8,35.9,36.5,38.4,
KNZ0149,DD,34.8,35.9,36.5,38.4,
KNZ0150,DD,34.8,35.9,36.5,38.4,
KNZ0151,DD,34.8,35.9,36.5,38.4,
KNZ0152,DD,34.8,35.9,36.5,38.4,
KNZ0153,DD,34.8,35.9,36.5,38.4,
KNZ0154,DD,34.8,35.9,36.5,38.4,
KNZ0155,DD,34.8,35.9,36.5,38.4,
KNZ0156,DD,34.8,35.9,36.5,38.4,
KNZ0157,DD,34.8,35.9,36.5,38.4,
KNZ0158,DD,34.8,35.9,36.5,38.4,
KNZ0159,DD,34.8,35.9,36.5,38.4,
KNZ0160,DD,34.8,35.9,36.5,38.4,
KNZ0161,DD,34.8,35.9,36.5,38.4,
KNZ0162,DD,34.8,35.9,36.5,38.4,
KNZ0163,DD,34.8,35.9,36.5,38.4,
KNZ0164,DD,34.8,35.9,36.5,38.4,
KNZ0165,DD,34.8,35.9,36.5,38.4,
KNZ0166,DD,34.8,35.9,36.5,38.4,
KNZ0167,DD,34.8,35.9,36.5,38.4,
KNZ0168,DD,34.8,35.9,36.5,38.4,
KNZ0169,DD,34.8,35.9,36.5,38.4,
KNZ0170,DD,34.8,35.9,36.5,38.4,
KNZ0171,DD,34.8,35.9,36.5,38.4,
KNZ0172,DD,34.8,35.9,36.5,38.4,
KNZ0173,DD,34.8,35.9,36.5,38.4,
KNZ0174,DD,34.8,35.9,36.5,38.4,
KNZ0175,DD,34.8,35.9,36.5,38.4,
KNZ0176,DD,34.8,35.9,36.5,38.4,
KNZ0177,DD,34.8,35.9,36.5,38.4,
KNZ0178,DD,34.8,35.9,36.5,38.4,
KNZ0179,DD,34.8,35.9,36.5,38.4,
KNZ0180,DD,34.8,35.9,36.5,38.4,
KNZ0181,DD,34.8,35.9,36.5,38.4,
KNZ0182,DD,34.8,35.9,36.5,38.4,
KNZ0183,DD,34.8,35.9,36.5,38.4,
KNZ0184,DD,34.8,35.9,36.5,38.4,
KNZ0185,DD,34.8,35.9,36.5,38.4,
KNZ0186,DD,34.8,35.9,36.5,38.4,
KNZ0187,DD,34.8,35.9,36.5,38.4,
KNZ0188,DD,34.8,35.9,36.5,38.4,
KNZ0189,DD,34.8,35.9,36.5,38.4,
KNZ0190,DD,34.8,35.9,36.5,38.4,
KNZ0191,DD,34.8,35.9,36.5,38.4,
KNZ0192,DD,34.8,35.9,36.5,38.4,
KNZ0193,DD,34.8,35.9,36.5,38.4,
KNZ0194,DD,34.8,35.9,36.5,38.4,
KNZ0195,DD,34.8,35.9,36.5,38.4,
KNZ0196,DD,34.8,35.9,36.5,38.4,
KNZ0197,DD,34.8,35.9,36.5,38.4,
KNZ0198,DD,34.8,35.9,36.5,38.4,
KNZ0199,DD,34.8,35.9,36.5,38.4,
KNZ0200,DD,34.8,35.9,36.5,38.4,
KNZ0201,DD,34.8,35.9,36.5,38.4,
KNZ0202,DD,34.8,35.9,36.5,38.4,
KNZ0203,DD,34.8,35.9,36.5,38.4,
KNZ0204,DD,34.8,35.9,36.5,38.4,
KNZ0205,DD,34.8,35.9,36.5,38.4,
KNZ0206,DD,34.8,35.9,36.5,38.4,
KNZ0207,DD,34.8,35.9,36.5,38.4,
KNZ0208,DD,34.8,35.9,36.5,38.4,
KNZ0209,DD,34.8,35.9,36.5,38.4,
KNZ0210,DD,34.8,35.9,36.5,38.4,
KNZ0211,DD,34.8,35.9,36.5,38.4,
KNZ0212,DD,34.8,35.9,36.5,38.4,
KNZ0213,DD,34.8,35.9,36.5,38.4,
KNZ0214,DD,34.8,35.9,36.5,38.4,
KNZ0215,DD,34.8,35.9,36.5,38.4,
KNZ0216,DD,34.8,35.9,36.5,38.4,
KNZ0217,DD,34.8,35.9,36.5,38.4,
KNZ0218,DD,34.8,35.9,36.5,38.4,
KNZ0219,DD,34.8,35.9,36.5,38.4,
KNZ0220,DD,34.8,35.9,36.5,38.4,
KNZ0221,DD,34.8,35.9,36.5,38.4,
KNZ0222,DD,34.8,35.9,36.5,38.4,
KNZ0223,DD,34.8,35.9,36.5,38.4,
KNZ0224,DD,34.8,35.9,36.5,38.4,
KNZ0225,DD,34.8,35.9,36.5,38.4,
KNZ0226,DD,34.8,35.9,36.5,38.4,
KNZ0227,DD,34.8,35.9,36.5,38.4,
KNZ0228,DD,34.8,35.9,36.5,38.4,
KNZ0229,DD,34.8,35.9,36.5,38.4,
KNZ0230,DD,34.8,35.9,36.5,38.4,
KNZ0231,DD,34.8,35.9,36.5,38.4,
KNZ0232,DD,34.8,35.9,36.5,38.4,
KNZ0233,DD,34.8,35.9,36.5,38.4,
KNZ0234,DD,34.8,35.9,36.5,38.4,
KNZ0235,DD,34.8,35.9,36.5,38.4,
KNZ0236,DD,34.8,35.9,36.5,38.4,
KNZ0237,DD,34.8,35.9,36.5,38.4,
KNZ0238,DD,34.8,35.9,36.5,38.4,
KNZ0239,DD,34.8,35.9,36.5,38.4,
KNZ0240,DD,34.8,35.9,36.5,38.4,
KNZ0241,DD,34.8,35.9,36.5,38.4,
KNZ0242,DD,34.8,35.9,36.5,38.4,
KNZ0243,DD,34.8,35.9,36.5,38.4,
KNZ0244,DD,34.8,35.9,36.5,38.4,
KNZ0245,DD,34.8,35.9,36.5,38.4,
KNZ0246,DD,34.8,35.9,36.5,38.4,
KNZ0247,DD,34.8,35.9,36.5,38.4,
KNZ0248,DD,34.8,35.9,36.5,38.4,
